,station_id,contract_name,station_name,station_address,has_payment_terminal,is_bonus_station,station_status,last_update,is_connected,allows_overflow,shape,overflowStands,position_latitude,position_longitude,totalStands_capacity,totalStands_availabilities.bikes,totalStands_availabilities.stands,totalStands_availabilities.mechanicalBikes,total_electrical_bikes,total_internal_battery_bikes,total_removable_battery_bikes,main_stand_capacity,main_stand_available_bikes,main_stand_available_stands,main_stand_mechanical_bikes,main_stand_electrical_bikes,main_stand_internal_battery_bikes,main_stand_removable_battery_bikes
99,44,dublin,UPPER SHERRARD STREET,Upper Sherrard Street,False,False,OPEN,2024-12-25 13:47:53,True,False,,,53.358437,-6.260641,30,10,20,6,4,0,4,30,10,20,6,4,0,4
100,89,dublin,FITZWILLIAM SQUARE EAST,Fitzwilliam Square East,False,False,OPEN,2024-12-25 13:46:02,True,False,,,53.335211,-6.2509,40,21,19,10,11,0,11,40,21,19,10,11,0,11
101,57,dublin,GRATTAN STREET,Grattan Street,False,False,OPEN,2024-12-25 13:41:53,True,False,,,53.339629,-6.243778,23,6,17,4,2,0,2,23,6,17,4,2,0,2
102,80,dublin,ST JAMES HOSPITAL (LUAS),St James Hospital (Luas),False,False,OPEN,2024-12-25 13:44:50,True,False,,,53.341359,-6.292951,40,17,23,4,13,0,13,40,17,23,4,13,0,13
103,41,dublin,HARCOURT TERRACE,Harcourt Terrace,False,False,OPEN,2024-12-25 13:50:50,True,False,,,53.332763,-6.257942,20,2,18,0,2,0,2,20,2,18,0,2,0,2
104,3,dublin,BOLTON STREET,Bolton Street,False,False,OPEN,2024-12-25 13:42:17,True,False,,,53.351182,-6.269859,20,14,6,7,7,0,7,20,14,6,7,7,0,7
105,40,dublin,JERVIS STREET,Jervis Street,False,False,OPEN,2024-12-25 13:49:47,True,False,,,53.3483,-6.266651,21,4,17,4,0,0,0,21,4,17,4,0,0,0
106,29,dublin,ORMOND QUAY UPPER,Ormond Quay Upper,False,False,OPEN,2024-12-25 13:48:34,True,False,,,53.346057,-6.268001,29,28,1,15,13,0,13,29,28,1,15,13,0,13
107,103,dublin,GRANGEGORMAN LOWER (SOUTH),Grangegorman Lower (South),False,False,OPEN,2024-12-25 13:46:39,True,False,,,53.354663,-6.278681,40,2,38,1,1,0,1,40,2,38,1,1,0,1
108,28,dublin,MOUNTJOY SQUARE WEST,Mountjoy Square West,False,False,OPEN,2024-12-25 13:43:31,True,False,,,53.356299,-6.258586,30,16,14,4,12,0,12,30,16,14,4,12,0,12
109,39,dublin,WILTON TERRACE,Wilton Terrace,False,False,OPEN,2024-12-25 13:43:12,True,False,,,53.332383,-6.252717,20,8,12,3,5,0,5,20,8,12,3,5,0,5
110,83,dublin,EMMET ROAD,Emmet Road,False,False,OPEN,2024-12-25 13:47:05,True,False,,,53.340714,-6.308191,40,20,20,11,9,0,9,40,20,20,11,9,0,9
111,92,dublin,HEUSTON BRIDGE (NORTH),Heuston Bridge (North),False,False,OPEN,2024-12-25 13:41:01,True,False,,,53.347802,-6.292432,40,30,10,22,8,0,8,40,30,10,22,8,0,8
112,21,dublin,LEINSTER STREET SOUTH,Leinster Street South,False,False,OPEN,2024-12-25 13:50:14,True,False,,,53.34218,-6.254485,30,13,17,6,7,0,7,30,13,17,6,7,0,7
113,88,dublin,BLACKHALL PLACE,Blackhall Place,False,False,OPEN,2024-12-25 13:46:33,True,False,,,53.3488,-6.281637,30,3,27,3,0,0,0,30,3,27,3,0,0,0
114,42,dublin,SMITHFIELD NORTH,Smithfield North,False,False,OPEN,2024-12-25 14:20:49,True,False,,,53.349562,-6.278198,30,4,26,3,1,0,1,30,4,26,3,1,0,1
115,30,dublin,PARNELL SQUARE NORTH,Parnell Square North,False,False,OPEN,2024-12-25 14:18:44,True,False,,,53.3537415547453,-6.26530144781526,20,1,19,1,0,0,0,20,1,19,1,0,0,0
116,54,dublin,CLONMEL STREET,Clonmel Street,False,False,OPEN,2024-12-25 14:17:00,True,False,,,53.336021,-6.26298,33,14,19,2,12,0,12,33,14,19,2,12,0,12
117,108,dublin,AVONDALE ROAD,Avondale Road,False,False,OPEN,2024-12-25 14:14:57,True,False,,,53.359405,-6.276142,35,0,35,0,0,0,0,35,0,35,0,0,0,0
118,20,dublin,JAMES STREET EAST,James Street East,False,False,OPEN,2024-12-25 14:14:46,True,False,,,53.336597,-6.248109,30,1,29,1,0,0,0,30,1,29,1,0,0,0
119,56,dublin,MOUNT STREET LOWER,Mount Street Lower,False,False,OPEN,2024-12-25 14:20:12,True,False,,,53.33796,-6.24153,40,9,31,4,5,0,5,40,9,31,4,5,0,5
120,6,dublin,CHRISTCHURCH PLACE,Christchurch Place,False,False,OPEN,2024-12-25 14:11:56,True,False,,,53.343368,-6.27012,20,4,16,4,0,0,0,20,4,16,4,0,0,0
121,18,dublin,GRANTHAM STREET,Grantham Street,False,False,OPEN,2024-12-25 14:13:52,True,False,,,53.334123,-6.265436,30,18,12,12,6,0,6,30,18,12,12,6,0,6
122,32,dublin,PEARSE STREET,Pearse Street,False,False,OPEN,2024-12-25 14:14:04,True,False,,,53.344304,-6.250427,30,16,14,12,4,0,4,30,16,14,12,4,0,4
123,52,dublin,YORK STREET EAST,York Street East,False,False,OPEN,2024-12-25 14:12:47,True,False,,,53.338755,-6.262003,32,4,28,3,1,0,1,32,4,28,3,1,0,1
124,48,dublin,EXCISE WALK,Excise Walk,False,False,OPEN,2024-12-25 14:12:00,True,False,,,53.347777,-6.244239,40,12,28,6,6,0,6,40,12,28,6,6,0,6
125,13,dublin,FITZWILLIAM SQUARE WEST,Fitzwilliam Square West,False,False,OPEN,2024-12-25 14:11:42,True,False,,,53.336074,-6.252825,30,23,7,10,13,0,13,30,23,7,10,13,0,13
126,43,dublin,PORTOBELLO ROAD,Portobello Road,False,False,OPEN,2024-12-25 14:20:44,True,False,,,53.330091,-6.268044,30,15,15,11,4,0,4,30,15,15,11,4,0,4
127,31,dublin,PARNELL STREET,Parnell Street,False,False,OPEN,2024-12-25 14:19:18,True,False,,,53.350929,-6.265125,20,12,8,9,3,0,3,20,12,8,9,3,0,3
